author,text,date,likes,video_title
@mrknight9257,"User Vivo x100 pro (Hp utama) dan ip15+ (Hp Dompet) 
. 
Jujur ane lebih menunggu Vivo X300 pro release di Indonesia daripada ganti Ip15+, soalnya 17 series biasa aja, masih kurang greget.",2025-10-26T10:27:39Z,5,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@agungrahmatillah,berapa kali erwin bilang LUT kita,2025-10-26T05:06:06Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@jeeesx,Ada beberapa fans android disini kepanasan,2025-10-26T02:20:42Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@pagoraiandi3300,"Raw ad di hp aq di Xiaomi 15 tapi nggak PAHAM buat apa?.
Dijelaskan disini baru tahu, tapi ko blg iphone yg punya trus yg di Xiaomi aq knp ditulid RAW jg, Dan bisa edit langsung filternya",2025-10-25T08:31:21Z,1,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@Lawliet892,mantap bang gua tunggu tunggu konten lu,2025-10-24T21:03:35Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@DaniYanChannel,Centre Stage Kamera depan nya gak dibahas bg? 😁,2025-10-24T15:54:23Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@michaeloey5793,mirrorless kalah apaan tai wkwkwkw,2025-10-24T15:54:04Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@haryhidayat3427,android udah lama format RAW wkwkw,2025-10-24T14:27:55Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@fatahelemen3232,Kebnyakan bacot,2025-10-24T13:19:21Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@wawans751,Cari warna silver susah banget jadinya ambil deep blue juga 😁,2025-10-24T10:42:31Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@cakabumchannel,yang jelas pake mr beast fitur2 itu ya,2025-10-23T14:08:59Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@framerevkusuma9462,"Bang bahas nd filter untuk iphone ini dong, masih ragu mau beli nd filter untuk iphone 16pro merk apa ya",2025-10-23T13:52:32Z,1,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@ezraaempee,"masalah isu panas 16 pro bener gampang panas kah? 
lalu 17 pro ini dengan vapor chamber sengaruh itu kah ?",2025-10-23T11:03:39Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@imadewn,prores2an 😅. 12bit log/16bit linear dan 15+ stop DR baru dah joss,2025-10-23T09:32:40Z,1,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@A.Sroast.303,"Bro, iPhone makin lama makin mirip Transformer anjir 😆 tapi ngomong² udah coba main di b.b.c.a4d belum? cuan² parah tuh! 💸",2025-10-23T05:53:46Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@yousufuddin5911,"Anjir desainnya emang keren sih, tapi fitur barunya kayak gimmick doang 🤣 yuk sambil nonton, gas ke bbc.a.4.d cuan bareng! 🔥",2025-10-23T05:53:40Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@prasetya_yg,"Bang, tiba² fuji launching xt30 mark 3 dan lensa 13-33mm , boleh dong dibahas",2025-10-23T05:36:58Z,1,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@aktriswibowo6101,Please review seri air nya bang.,2025-10-23T04:12:34Z,1,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@user-bl2ev1nk3m,"Fitur gimmick, orang gila mana beli hp mahal” cuma utk nyoba prores” gajelas. Mending sekalian beli kamera 😂",2025-10-23T03:56:16Z,1,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@sumpahsumpahkane7304,bang bahas juga (atau udh pernah ?) apakah perlu pakai Filter2an klo videography dengan si iphone ini ?,2025-10-23T02:14:10Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@kameraneaisyah,opengate bisa mainan anamorphic lens,2025-10-23T01:44:11Z,1,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@ridhanylee,jatohnya banyak fitur kamera mubazir kah bang di 17 series??,2025-10-23T00:26:28Z,2,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@tnjong,"kalau fokus performa video + foto jauh lebih worth it mirrorless 
emang bukan untuk umat mendang mending wkwk",2025-10-23T00:16:52Z,2,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@fastlapsefromtiktok,"Nonton di iPhone 8 plus, tahun depan ganti lah ke 18",2025-10-22T23:52:26Z,33,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@stevaniecute7994,"Yang pasti iPhone 17 dibawa Vivo x300 , dan Oppo  find x9 ,, iPhone sekarang kamera gak sebagus hp China biasa2 sja ... kemarin sy beli iPhone 16 pro max pas bandingkan. Dgn Vivo x200 pro sy ,kecewa sekali saya ...ternyata jauh sekali belom lagi nanti sama x300 dan find x9 gawat darurat ,,deh ..bahan juga jelex cuk sudah ad lecet",2025-10-22T22:07:01Z,4,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@halo6849,coba cobain genlock bang katanya penyepong iPhone,2025-10-22T21:53:25Z,4,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@GungKrisna12,"""Mirrorless aja kalah""
Apakah bakal ada yang berpikiran kalau di masa depan, saat kamera di HP semakin canggih, semua kamera dedicated bakalan punah sama sekali?",2025-10-22T21:00:55Z,3,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@RakaChannel12,Saya mobile kontent kreator (cuman untuk di up di medosos) Dikasi video HDR aja udh seneng bngt di ip13 😊 apalagi dikasi se abrek sama ip17 😢 berguna enggak puyeng iya,2025-10-22T18:52:36Z,2,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@Dunia-wd7gh,"Kami ga butuh pixel tinggi, kami ga butuh codec baru, kami hanya butuh dimensi dan aperture beneran di sebuah kamera hp😅",2025-10-22T18:17:35Z,9,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@danielssaputra1664,"Yg pengen nyobain Apple log di seri base model, cobain install aplikasi Cinema P3",2025-10-22T17:19:11Z,1,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@galihgaftah1072,bang 50mm viltrox fe 1.4 pro,2025-10-22T17:09:10Z,1,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@Fisya-g8r,Coba dibahas lagi bang yg 15 pro. Apa semakin murah?,2025-10-22T16:44:11Z,1,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@AditSuhadi-c5h,"game makin keren, hp makin canggih, tapi sayangnya jaringan 4G di indonesia masih masuk 10 besar terlemot.",2025-10-22T16:17:41Z,7,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@galihbarmadiputra,Compare Bang sama s25 ultra cameranya sedetail detailnya 🙏🏻,2025-10-22T14:56:44Z,2,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@gartlightbender,HP 3  juta an skrg juga udah bisa rekam video raw bang... bahoan bisa rekam log profile..,2025-10-22T14:54:05Z,1,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@teye.locality,sebagai videografer yg minimal bisa rekam 4k 10bit mending beli iphone pro max apa kamera mirrorless macam sony zve10ii / fuji xm5?,2025-10-22T14:53:16Z,3,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@qasaid8101,"Apakah kamera smartphone kedepan bakal bisa menyaingi kualitas SLR,Mirrorless? 
Mengingat HP itu tipis, compact sdngkan lensa gede juga butuhin bodi yang gede pula.",2025-10-22T14:31:07Z,3,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@RizkyPantomhobolGooglePlus,"Bang review juga nanti Vivo X300 Pro & Oppo Find X9 Pro karena itu lebih bagus dari IPhone 17 pro... Pengen banget Estechmedia buat compare profesional user di 3 smartphone itu sudah sejauh mana smartphone fotografi/videografi sekarang, excited banget karena sudah banyak hasil jepretannya bikin geleng-geleng di 2 smartphone android itu tuh...",2025-10-22T14:24:56Z,12,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@andias6598,"Pada saat rilis format apple prores itu di populerkan iphone 13pro max, perubahan fitur terasa di 15pro/pro max krn bisa record to ssd, upgrade ke 16pro/promax bisa 4K 120fps,
 jadi antara format produksi secara serius untuk platform medsos tergantung keadaan lagi, baik secara head to head alat produksi antara iphone 17pro vs fujifilm xs 20 +lensa viltrox seri air, 
Klw mengejar depth of field namun toleran terhadap stabilitas, XS 20+lensa viltrox air
Klw mengejar format lebih banyak & lebih mobile kemana2, jga membutuhkan kestabilan lebih, iphone 17pro/iphone 16pro.",2025-10-22T14:13:35Z,5,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@f3bryan,Untungnya iphone belum bisa bawa redraw bang. Jadi mirrorless masih unggul 😁,2025-10-22T13:53:06Z,9,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@trngab9656,Ini dia yang ditunggu2,2025-10-22T13:35:53Z,1,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@Iqfilm__,Pertama ☝,2025-10-22T13:32:06Z,1,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@GadgetIn,"Timestamp:
00:00 iPhone 17 SERIES! +pajak
01:15 Unboxing iPhone 17
03:00 IJO MAHAL
06:10 Saya suka Sage
07:05 Aksesoris cakep buat iPhone 17
09:35 Akhirnya ya, 120Hz & iOS 26!!!
12:45 Gini doang HEPI
14:10 vs iPhone 16
15:10 Bezel lebih TIPIS
15:35 Kamera selfie yang bagus?
17:30 Material + sampel foto
18:40 iPhone 17 PRO!
19:40 Orangenya agak...
21:50 Desain Tom & Jerry
24:30 Casing yang bikin salah paham
26:20 Kamera versus iPhone 16 Pro",2025-09-22T00:59:23Z,1164,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@KacofySkinBeauty,Charger ip 17 pakai apa bang yg worth it,2025-11-30T03:40:28Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@Cundamani-t4c,"Di Singapore iphone pro max 1.900$  256 gb lbh dikit, aku takut bawa balik indo ntar kena pajak mahal.... 😢 kalo mau 2tb 3100$  
Yang pro  256 gb 1750$",2025-11-29T23:14:00Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@Penerbang_roket,"klo yg iphone 17pro itu, warna orange terinvirasi  dari warna pabrikan motor KTM tim orange 👍 mantap sih warna nya GG abis, lain dari yg lain dan hanya iphone 17pro yg make warna orange, nice...",2025-11-29T15:06:13Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@zvrstfx,25:00 vibesnya kek perampok wlwkw,2025-11-29T11:12:56Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@meow-kucheng,Iklan doang 😂,2025-11-29T09:33:12Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@SebastianTisten-eu3he,Justru bagus warna 17 pro,2025-11-26T13:04:21Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@Tataian-y1q,Kapan oi reviewnya,2025-11-26T05:04:04Z,1,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@Tataian-y1q,Kapan oi reviewnya,2025-11-26T05:03:53Z,1,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@barikmuhammad1714,Warna Jackmania banget ya,2025-11-25T13:56:35Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@mmhusein7161,kapan video review nya,2025-11-24T11:35:35Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@YasminMumtasya,"menurut ku sih yang iphone 17 bagus kamera nya jernih,Zoom nya bagus dan pas kk coba vidio dia gk ada edit filtur sedikit pun. jernih kameranya nya",2025-11-24T07:43:18Z,1,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@Emotbatu98,Paling senang liat hijau sa*ge😍,2025-11-23T15:31:41Z,1,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@fikriekanandaa,Bismillah semoga kita tahun depan bisa upgrade hp ke iphone 17 pro aamiin,2025-11-23T10:44:52Z,1,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@janelindsay7327,"Ya ya ya, bukan cuma saya yg ngelihat warnanya rada gengges. Pertama kali pilih varian iphone, langsung kepincut ip 17 base. Dari segi design simple, elegan dan menurut saya lumayan handy dan pilihan warnanya masih kalem dan ok. Gak gonjreng!",2025-11-22T17:52:27Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@firmanjuma,Biru atau hijau ?,2025-11-21T07:06:56Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@fahrizalradiansyah6164,mana reviewnya 😂,2025-11-21T00:15:03Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@salsabilasocia,Bang kapan review ip17 base modelnya. Lagi pertimbangin ip17 256gb vs ip15 256gb,2025-11-20T08:47:20Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@SupplierKomodity,cara beli second hp gadget in gmn,2025-11-19T23:43:09Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@clarissa_1234,nungguin review lengkap ko david ttg iphone 17 ini kok gak nongol2 yah?? apa cuma ini aja? 🥺,2025-11-18T00:19:11Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@yustikatalenta4915,Mending 17 basic atau 16 pro?,2025-11-17T08:41:46Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@OnlineNugi-h4i,"Soal foto kalau yg ak amati ya. Misal ad perpindahal dari 2 ke 3 gt contohnya. Nnti di agak ngeblur dikit tp klu udah smpe di 3 dia jernih lg tp klu masih di 2,8/2,9 gt dia kya cba ad peralihannya contoh ny kya muter lensa gt lah paham g sih gt lah pokoknya😅😅",2025-11-17T03:54:55Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@atalyadeleon8636,"bang bahas topik security hp bang, dan buat antisipasi hp dimaling, per brand hehe",2025-11-16T12:18:53Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@bayantini8935,aku tidak suaka....aku tetap 13...pro,2025-11-15T15:41:44Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@raysharania5217,Kak David unboxing laptop advance dong,2025-11-15T12:47:32Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@silabanjavabry3785,"Coba bang
Ip 16 promax vc ip 17 promax",2025-11-15T12:46:29Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@aburosyidah,selamat anda membuat saya iri,2025-11-15T06:59:07Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@NanaSusanto-g4m,Sm huawei bgz mn bang??? Nnt di bandingin bang,2025-11-15T04:39:05Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@ShalehHajrah,Ka bagusan recommend MN 16 pro te 17 basic ka,2025-11-15T02:43:05Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@RISKI_SUKA_RENDANG,Pajak setara dengan hp bagus 🗿,2025-11-14T17:43:11Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@jayaqihaje313,Bg bikin rekomendssi hp 1 jta zampe flagship,2025-11-14T17:12:19Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@jayaqihaje313,Bg bikin rekomendssi hp 1 jta zampe flagship,2025-11-14T17:12:13Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@jayaqihaje313,Bg bikin rekomendssi hp 1 jta zampe flagship,2025-11-14T17:12:09Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@jayaqihaje313,Bg bikin rekomendssi hp 1 jta zampe flagship,2025-11-14T17:12:05Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@footballGame16,"Masih setia dengan Oppo a33 2020😂 bukan nya gak mau upgrade tapi pengen aja marah-marah tiap hari karena hp ini ,maen game dls aja berat apalagi etusbol😂😂😂",2025-11-14T13:54:40Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@Dudung757,17 pro dari belakang kayak HP mainan 😂😂😂,2025-11-14T04:57:54Z,1,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@reviewapaajadeh3079,Langsung BATAL BELI GW abis liat david review iphone 17 pro .. hasil fotonya burik trnyata,2025-11-13T16:47:34Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@mogami-san4012,29:47 ini aku diang atau foto di iPhone 17 pro agak kekuningan,2025-11-13T15:10:20Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@yasinnnn-x1x,"Review hp 10%
Nyebut hijau sage 90%",2025-11-13T09:46:51Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@tarumajaya32,"Gw yg udh nyobain 16 up ke 17 pro asli kameranya lebih ok yg 16, lebih detail sepertinyg di review, 17 pro udh kaya kena filter lebih halus, dan warna layar lebih kuning dibanding 16",2025-11-12T15:59:16Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@cindyhargitas6240,Ko david selain iphone 17 yang worthid dibeli tahun ini yang mana?,2025-11-12T13:49:04Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@OFFICIAL_DODOL-h7v,Mudah mudahan bisa beli🙏,2025-11-12T09:55:41Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@BayuSahputra-n8v,"Gilak pajak ipon 2...unit..8jt lebih,,,x ribuan unit,,njirr kaya pejabat(babu rakyat)",2025-11-11T10:08:45Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@andreasiniesta1338,"jangan bilang hijau miskin bang, TYM",2025-11-10T03:57:01Z,2,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@KadekRestu-p2v,Poco x17 pro max🗿,2025-11-10T03:05:38Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@Gobedlia1933,Bang David cek nubia redmagic 11 pro+,2025-11-10T00:22:44Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@marwahsaridewi2692,Bang review infinix xpad 20 pro donggg🙏🙏🙏🙏,2025-11-09T04:42:42Z,1,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@DOLAN_93,31:45 jarang² youtuber ngomong gitu david doang yg berani,2025-11-09T03:24:24Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@tandytanz,apakah udah setting Camera preServe nya dinyalain semua? defaultnya 17 itu kan 24 mp jd harus d set ke 48 MP kalo misal default setting ya sama aja kek 16 la. soalnya default settingnya itu untuk optimalisasi storage biar ga terlalu boros size filenya,2025-11-08T22:19:41Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@danaHerugarudahitam17890pascol,Kls kapan bisa beli aku,2025-11-08T07:38:48Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@SuhartoReksoJudha,"motor trail KTM.. 
.. orange ... 

matching.. ❤",2025-11-08T05:23:07Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@butterflyvv9012,"Kurang suka juga sih sama warna 17pm tapi it's okay, bisa ditutup case. Alhamdulillah Minggu depan IP 17pm aku Dateng sebagai hadiah untuk diriku❤",2025-11-07T12:04:03Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@adhigunanugraha3020,masih belum ada review khusus nya ni,2025-11-07T01:29:33Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@AzwLa,Hanya iohone 15 dan 16 yg desainya mewah elegean. 😂 Kayaknya aku malu deh megang iPhone 17 soalnya kaya bukan hape poco poco hape nya Xiaomi entry oevel😂,2025-11-06T23:55:01Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@AlmightyWren,Aaaaaa baru beli 16 pro dan masih gamon sama 17 basic karena sempet galau milih antara mereka 😭 please yakinin tapi buat ngonser masih worth it 16 pro kan... 😭😭😭,2025-11-06T22:26:33Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@fitlee6435,"nonton video ini pake ip 13, semoga bisa menonton lagi memakai iphone 17 pro max aminnn",2025-11-06T18:06:41Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@ibnuathoillahas-sakandary3052,25:03 kayak POCO 😂,2025-11-06T14:46:14Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@ibnuathoillahas-sakandary3052,"DAVID pengen bilang warna oranye iPhone JELEK, tapi ga enak aja bilangnya 😅😅😅",2025-11-06T14:45:08Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@ibnuathoillahas-sakandary3052,Kayak hp China gak sii 😅,2025-11-06T14:42:07Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@WicardaSand,"Wah, review-nya jujur banget. Dompetku langsung bergetar pengen beli 🥲 ᴋᴜʀɪʀꜱʟᴏᴛ",2025-11-06T11:52:24Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@JEVRYNEO,nonton video ini pake android 😢😢,2025-11-06T10:57:24Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@its.moonie213,"jadi mending ip 16 apa 17 ya, masih bingung",2025-11-06T09:05:07Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@tyee613,bagi satuu😭😭🙏🏻,2025-11-05T13:24:02Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@Abihtemborotomaychannel,BANG RIVEW KAN DONG KAMERAH VIDIO HP REALMI 15 PRO GAME OF THRONE KAN WAKTU ABANG REVEW KEMARIN KAMERAH VIDIONYA BLM ABANG SEVILKAN,2025-11-05T13:01:52Z,1,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@anggarasutisna7031,"Dari dulu pake iphone 6😁diejek temen ini itu, pas juli 2025 langsung ganti smsung s24 ultra",2025-11-04T23:47:04Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@PangJia-lg6xp,G jadi beli ah,2025-11-04T16:12:06Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@xham6231,"dari 5,7plus,XR,14pro (last lah udah paling mantap) cape banget ngikutin iphone jing 🥲",2025-11-04T06:03:40Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@roifnurwahid2080,lagi liat riview iphone 17 promax nontonnya pake iphone 17 promax😊😊😊😊,2025-11-04T05:42:03Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@ConfusedBeachHammock-kg3vc,Sampai Googling arti Sage. Ternyata tanaman obat herbal. Nice.,2025-11-04T03:08:12Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@inamfadlillah7904,"Model nya jadi norak, bagus model lama",2025-11-03T01:44:06Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
@rezhainakaro,Jadi ingin merasakan teknologinya 😊😊,2025-11-02T22:25:54Z,0,Unboxing + tes fitur baru iPhone 17 &amp; iPhone 17 Pro!
