text_stemmed,label_otomatis
pajak juta pajak mending kasih orang kurang mampu,Negatif
wokwowk iya dipakein case tutup malah jadi poco,Negatif
jual enggak habis review,Netral
yogyakarta indonesia hadir,Positif
mantap,Positif
iphone selalu tinggal jaman soal tekhnologi android,Negatif
handphone orang gaya hidup mewah,Positif
iphone bentuk ngebosenin cuman beda warna doang,Negatif
iphone pm,Netral
salpok sama merek momok,Negatif
hmm nyata iphone ku buruk wkkwwkwkwk,Negatif
ekspresi kayak nyesal beli i phone pro,Negatif
aku,Positif
ijo miskin,Negatif
review full,Netral
aku sindir siapa timothy,Negatif
kalau cari aku iphone promax warna oranye memang baik,Negatif
koplok ijo miskin,Negatif
iphone pro base,Netral
jadi flash back duluuuu punya sony ericsson walkman warna orens,Positif
mau nanyaaa buat pernah pakai iphone samsung seri flagship mending mana sih,Positif
tayang riviewny,Positif
bukan ijo sage asa iphone,Negatif
varian polos thai green tea pro max thai tea,Negatif
baca kok sa ge baca seij lah,Positif
banyak duit abang,Positif
simak,Positif
lihat belakang kok jadi ingat nokia symbian,Positif
hijau missqueen enggak,Positif
tempat gua pakai iphon banyak pegawai gaji bawah umr kalau usaha bisnis punya mobil rumah pakai handphone samsung ovvo gua iseng tanya enggak beli iphone kan mampu jawabanya tuju cari duit dunia nyata bukan pamer handphone tahun lomba lomba ganti iphone baru,Negatif
iphone asa enggak ubah besar tahun tahun harga bekas anjlok,Positif
pilih series genap series ganjil memang selalu coba iphone jangan kalau pengin upgrade iphone,Negatif
tonton dulu enggak beli kapan,Negatif
cuma mas transfaran sampai fakta tengok dulu vt aku nganggur cuma pakai realme mau beli duit soal,Negatif
samsung ultra bahak bahak,Netral
heran tetap laris,Positif
kesan biasa,Positif
s a l a m k e n a l b a n g d a v i d g a n t e n g,Netral
ai enggak smooth heran hiks muka nyong semua,Negatif
review resmi,Positif
kayak tiga lebih orang koh auto rotate,Negatif
jadi simpul bagus pro kak,Positif
update pakai iphone dong lama beberapa minggu gimanaaa,Negatif
jadi simpul mending pro apa pro,Netral
riview apple iphone air dong desain bagus pengin spesifikasi,Netral
iphone kalau enggak cepat inovasibisa nasib nokiaitu bom waktu,Negatif
asli iphone banget lo kamera langsung bagus banget sama komersilkan tipe tipe analogi kamera iphone harus langsung bagus iphone simpan maju sebut terap iphone monopoli,Positif
saran iphone pro bagus ganti iphone pro google pixel pro pakai biasa enggak main game lebih focus photo suka traveling,Positif
tanya mending stay plus upgrade basic,Positif
reviewnya kapan,Netral
user iphone model seri propromax kurang banget model basic sama air terima lah desain,Negatif
iphone lebih bagus series ganjil apa genap guys,Negatif
pro,Netral
mnurt bentuk pro belakang kes kurg wowmalah tampak jadulnampak muka kecewa produk baru ini,Positif
i phone pro edisi bitcoin,Netral
xiaomi pro max kapan,Netral
bulan kapan upload repiwnya,Negatif
tonton review iphone pro pakai handphone vivo muncul iklan samsung galaxy,Negatif
ios update an sampah ganggu koneksi mau update masalah koneksi jadi puyeng keliling,Negatif
saran dong travel adaptpr bagus aman iphone berapa watt trimksh,Positif
bulan enggak buat review,Negatif
hijau miskin b oung seprei pung warna ijo kayak handpone harga rp mahal kok murah seprei miskin kok kayak baru dengar istilah e hijau miskin baru gbr tembok orang punya rumah,Negatif
bukan enggak mampu beli iphone soal tanggung baru minggu kemarin beli infinix hot i,Negatif
jumlah kamu bayar kalau tukar duit malaysia jumlah harga iphone campur pajak dekat rmmahal oo,Negatif
juta an usb,Positif
bulan juta view kaum bawah kebelet beli iphone sampai iphone series worth buy akhir tahun,Netral
jadi soal kamera bagus pro max guys,Netral
benar dong,Positif
mnurut gue kok iphone basic lebih elegan iphone promax,Positif
pajak juta wadidaw negeri konoha sanga sejahtera,Negatif
tonton dulu beli kapan kapan,Negatif
pajak pajak pajak,Negatif
kapan xiaomi prp max,Netral
bungkus snack warna oren,Netral
awal baru sekarang ku geli lihat model iphone baru,Netral
gila kang pajak bagaimana enggak cepat kayak bea cukai,Negatif
wkwkwk bangkai,Negatif
wah nyata lebih ya zoomnya memang menang iphone got the detail cantik,Positif
belakang enggak premium lihat plastik murah bagi buble cameranyasangat sayang,Positif
lihat kemudian buka web vendor seller resmi komparasi sana sini budget sekali beli pro enggak basic jangan air wkwkwkwkwkwk sumpah jangan,Negatif
fix kamera lebih bagus ketimbang,Positif
harga berapa tahu,Positif
lebih adam kamera,Positif
warna enggak bagus trllu colok bagus warna putih silver satu blue,Negatif
banyak warna orange nglupas warna jadi hilang kata,Netral
poco versi pro,Netral
banggg pliss,Netral
lihat desain pro aku makin mantabkan hati tetap pakai pro,Positif
jadi sesal beli basee,Positif
mending basic apa pro soal selisih dikit jawab galau,Negatif
rencana mau upgrade plus basic,Positif
jam warna ijo,Netral
iphone,Netral
makin kesini makin parah,Negatif
bagusam model ipone,Positif
sama enggak makin kesini makin enggak fomo beli iphone baru,Positif
warna orange sini panjang panjang jalan warna tong sampah mau beli pengin max pro bingung enggak suka gede banget pro max,Positif
ijo sage ingat gue pixel enggak salah,Positif
kao mau upgrade iphone pro pro worth enggak,Positif
saran buat hasil foto sunsetmatahari pas mau benam hasil foto,Positif
singapore hari pro tb,Netral
kamera mantepan pro maxx,Netral
bismillah moga beli iphone coba rasai pakai handphone mahal,Positif
tinggal warna norakahahahaha jangan nanggung,Negatif
apa skip tonton gadget skip enggak banget buat gue kadang gue track back kalau suruh pilih gue pulih biasa soal pro max mah android banget desain kapai,Negatif
terlalu tele capek tonton,Negatif
unboxing xiaomi pro promax abang,Netral
salah fokus sama dyson kayak collab sama marvel soal warna thanos banget,Negatif
trus kapan obain xiaomi pro max lebih keren,Positif
pengin punya iphone buat ambil dokumentasi kerja wisata alam apa daya gaji umr bantu doa sahabat,Positif
fold lah juwaraaa,Netral
lebih suka based model,Positif
studio ponsel store,Netral
gue nabung pengin punya iphone enggak sampai aja,Positif
suara cempreng review enggak jelas,Netral
mirip album taylor swift koh the life of a showgirl,Negatif
mungkin zoom cropan wide cameranya,Negatif
jujur enggak suka model pro aneh banget wkwkwk mending pro orang,Positif
bagus,Positif
coba banding iphone sama iphone pro,Positif
thanks info apple ubah sejak jobs mangkat saat alih ultra enggak,Negatif
aku jatuh pro max biru tua mending warna oranye kurang puas sama warna pengin ungu,Negatif
harus satu beli iphone air mau lihat ih,Negatif
alhamdulillah kebel,Positif
serah mau katain kaum dang mending jujur design iphone air bnr kocak ku aku paling suka design iphone camera boba layar poni sekalipun tutup layar aku paling suka ketimbang android bulat punchole,Negatif
iphone brand belah bakal keluar,Negatif
mau beli base model gua enggak blue gb bh baru pakai bulan plus garansi qoala tahun paket sama beli waktu full box ambil stiker sekali kan susah noh sekarang enggak stiker juta net kata ci mehong mah mau,Negatif
guna pro max desain bagus kalau letak kamera makin ngawur,Positif
kalau pro lebih unggul kamera banding pro,Negatif
wah iphone pro max buat adik,Positif
bagus china apa amerika,Negatif
poco,Netral
vid kira handphone lo apa,Negatif
unboxing handphone infinix smart,Netral
malah jadi jelek design camerax mirip poco,Negatif
sila debat wkwkwk,Positif
pro max model camera beda sblmx,Negatif
negara indonesia beberapa negara enggak usah banyak cukup negara rakyat sejahtera,Positif
tabmelnya definisi riview dong bro kalau gue jangan tubmel clickbait,Negatif
handphone agung agung kan netizen konoha,Netral
bentuk hape kayak android jelek,Negatif
tetap,Positif
lama iphone design kayak handphone china,Negatif
jadi mending pro base model guys bingung bjir harga enggak jauh beda,Positif
banding basic sama pro dong aku bingung mending mana terima kasih,Positif
nyaman sama seri belum lebih kalem simple elegan fitur enggak kalah telak,Positif
bgsekali sekali dong intro estetik ajmassa intro ai guys disinibosan banget dengernya,Netral
kak coba review xiomi pro pro max,Positif
bazelnya bahas dua,Positif
suatu tenggelam,Netral
kamera lebih oke nyata,Positif
xiaomi promax review,Netral
dapit tinggal kok dikit dikit palak eh pajak,Negatif
suka suka lihat lebih keren promax banding iphone,Positif
designya aneh pro enggak estetik enggak lihat luxury sama sekali beli handphone poco lah samsung android menang design,Negatif
makin sini makin yakin handphone kamera kecil paling nyaman turut aku tetap setia oppo reno f sesuai butuh sosmedan cukup handphone sama foto bocil,Negatif
review tesla phone,Netral
thank you gadgetin makin yakin beli harga turun kamera gue anggep lebih bagus selera,Positif
mampukalo dipaksain sihtapi mentingin buat investasi dulu karena profesi kuli bangun,Negatif
buat fanboy denial dulu ngekeuh iphone base enggak butuh hz jangan beli iphone base seri atas kalian nikmat hz kalian kan kalian kata enggak butuh iphone series atas cuma buat fanboy waras user lain awas makan ludah sendiri,Negatif
beli iphone basic sekarang worth enggak,Positif
mas kapan ngonten handphone oneplus sand dunes,Netral
tim tonton ajah tahan iphone base modelcos perdana iphone pertama hidup moga awet,Negatif
ingat nokia gue dulu warna oren,Positif
guna plus hadir,Positif
buat series ipon paling worthit iphone keluar,Negatif
soma promag mana kata aipon killer,Negatif
enggak pernah skip iklan tunggu rekomendasi handphone akhir tahun buat lebaran nanti,Negatif
tunggu review tesla phone,Positif
memang benar tesla mau ada smart phone,Positif
paling ku suka update iphone reguler hz hz,Positif
mu iphone cocok banding sama handphone apa samsung ultra,Netral
android lesat hz,Netral
jujur bimbang banget mau beli iphone biasa pm soal mau sekali sekali upgrade iphone bosan banget pakai samsung,Negatif
review xiaomi pro,Netral
pro desa kayak handphone juta malah bagus desain pro,Netral
munkin mirip toko oren kan apa,Negatif
mamtap,Netral
jangan beli produk studio ponsel soal barang masalah lepas tangan kronologi beli ipad pro tanggal september tanggal oktober hari minggu handphone kena death pixel komplain lah pihak jual kalau ipad kena death pixel garansi enggak soal sedia garansi toko hari nah pas handphone rusak hari harus dong claim garansi toko ngajukan claimnya pas hari minggu pas layan tutup singkat cerita baru dibales lah hari senin tanggal oktober pihak toko tolak claim garansi toko lewat hari tangga pas barang cara bicara muter muter enggak solusi sama sekali ujung ujung suruh claim garansi apple sama bohong kapai chat panjang lebar ujung ujung enggak chat cuman read centang biru,Negatif
simpul sederhana teknologi apple revolusioner dulu steve jobs tinggal desain apple revolusioner dulu jonathan paul ive resign sekarang jadi konsultan open ai material apple sekarang ringkih tim cook pakai material murah sulap kualitas sama mahal sulap habis biaya besar rd dapat besar laba bersih kecil kandidat ceo masa depan apple john nus ahli hardware mungkin jadi ceo kualitas hardware apple bagus mungkin harga lebih mahal milik mampu efisiensi bagus tim cook soc apple hemat daya struktur soc lebih banyak ecore efisien pcore performance,Positif
made apa,Negatif
pro,Netral
tonton pakai inf hot pro plus ngemil,Negatif
review xiaomi pro dong,Netral
diketawain poco versi pro seriesnya,Negatif
xiaomi pro max,Netral
pakai iphone ikut ios theme crystal clear jadi asa handphone baru hahahaha,Negatif
nabung bulan buat beli iphone bingung mau beli iphone mana,Positif
review mi pro max sekali baanng,Negatif
enggak review poco cuma pengin dapat serta banding handphone,Netral
bagus warna light blue green apa lavender,Negatif
bahas kamera iphone pro,Positif
tonton vid pakai iphone,Negatif
tim tonton tak mampu beli ayo kumpul mari,Negatif
pajak kesal,Negatif
salam semua sehat selamat sukses sejahtera selalu,Netral
enggak upgrade desain kamera sama processor,Positif
tahun aku beli handphone bang,Positif
kamera orang otomatis jauh redmi note,Negatif
xiaomi pro max dong,Netral
teknologi handphone mentok upgrade sekarang ajajadi beli iphone sekarang memang cuma beli buah handphone,Negatif
positive thinking mungkin beliau beli lewat seller jastip harga retail lebih mahal biaya bea cukai total hampir juta,Positif
kamera lebih natural pro denk selera jatohnya,Netral
iphone sage jadi sage aku lihat,Positif
pro mirip designnya google pixel dulu design belakang dual tone,Positif
alhamdulillah handphone mid range hz,Positif
enggak review aku akak,Positif
jelek apa iphone mata fanboy tetap bela padahal kritik terus enggak beli buat apple beri jauh lebih baik,Negatif
tim beli doang kagak tonton,Negatif
tiga warna iphone pro aku malah lebih suka sama warna orange kayak jarang banget handphone punya warna berani langsung wow pas lihat kali pertama iklan,Positif
adu camera sama huawei kayak seru banget,Negatif
grafik keren habis gameplaynya seru,Positif
kualitas tinggi standar emang top,Netral
keren suka bagaimana selalu update,Positif
mantap benar tempat buat seruseruan,Netral
grafik keren habis gameplaynya seru,Positif
berkat lesat jual kaki lima usaha restoran,Netral
grafik keren habis gameplaynya seru,Positif
keren suka bagaimana selalu update,Positif
grafik keren habis gameplaynya seru,Positif
keren enggak tanding juga unik,Negatif
sukses selalu selalu penasaran,Negatif
grafik keren habis gameplaynya seru,Positif
grafik keren habis gameplaynya seru,Positif
grafik keren habis gameplaynya seru,Positif
grafik keren habis gameplaynya seru,Positif
menang jangan lupa teman,Negatif
kualitas tinggi standar emang top,Netral
grafik keren habis gameplaynya seru,Positif
kualitas tinggi standar emang top,Netral
bahas xiaomi pro max,Positif
miris lihat harga pajak,Negatif
yes sayang no iphone pro,Positif
beli handphone kaya beli kurupuk,Positif
punya budget juta mending ambil iphone gb xiaomi pro tb,Netral
tonton enggak mampu beli mana suara,Negatif
kalau beli store china aman enggak,Negatif
enggak coba video,Negatif
pajak nya,Negatif
baru sampa an iphone,Netral
coba mi pro,Positif
bahas xiaomi plisss,Positif
mahal iphone,Positif
revew xiaomi pro max,Netral
pro pers china mana,Netral
banyak bahas enggak penting,Positif
tonton pakai iphone,Negatif
coba xiaomi dong,Positif
mungkin tadi iphone perlu ditambahin aod benar pengin lihat versi basic aod tqqqq,Netral
pas iphone pro pakai case ingat poco kali pro wkwkwkwkw,Positif
tunggu xiaomi,Positif
hahaha,Netral
steve jobs lihat iphone sekarang pecat tim cook apa tiap tahun cuman upgrade kamera baterai chip ram core gpu core cpu ukur chip screen dulu tiap tahun apple inovasi baru orang tunggu apple apple sayang banget johny ive keluar apple no hope tunggu inovasi apple malah xiaomi bangkai bagus banget cok screen belakang lihat macam uji coba buat smartphone layar penuh depan belakang,Negatif
coba riview xiaomi pro,Positif
gaass auto beli jual sawah waris emak,Positif
xiaomi enggak pro,Netral
bahas xiomi pro,Positif
rekomendasi dong mending beli iphone promax pro,Positif
tunggu xiaomi pro max mas,Positif
coba buat vs sama xiaomi pro max pengin jelas lebih paham soal handphone unggul mana gue cuma model doang enggak spek haha,Positif
mana review xiaomi pro max,Netral
iphone iphoco,Netral
review xiaomi pro bang,Netral
alamak kecawa desain ippro nya,Positif
alamak kecawa desain ippro nya,Positif
iphone sage cakep banget dah moga kebel akhir tahun,Netral
kamera promah sama promah kok lebih bagus kalian bagaimana gaes,Positif
salah satu alas ambil iphone bawah series mesti seri pro atas biasa android hz broo omong kosong hz iphone tara android hz asa motion lagnya cuy,Negatif
review xiaomi pro pro max enggak,Netral
buat iphone pro sama xiomi pro seru,Positif
biasa xiaomi poco bilang tiru iphone sekarang akak iphone lihat kayak poco,Negatif
bahas xiaomi pro dong banding sama iphone pro,Positif
boro kebel iphone ngumpulin duit kepake mulu,Negatif
pajak handphone juta bayang ribu beli bayar pajak negara rusak,Negatif
bulan depan beli bissmillah,Negatif
tunggu review xiaomi pro max bang,Positif
lebih worth mana pro basic,Positif
coba banding iphone pro basic bingung dilema banget wkwk,Netral
xiomi pro max tunggu slanjutnya,Positif
pajak segituu,Negatif
nontoin review kang baca komen net sini jadi makin mantap promx upgrade pm aja,Positif
terima kasih om jadi nota hehehe info sangat manfaat membantusaya kbtulsn handphone sama lupa sandi langsung ikut langsung jadi nota,Positif
review xiaomi pro max,Netral
review xiaomi pro max davia,Netral
warna green bagus matcha,Positif
lihat pro jadi ingat velg cncnya vnd warna orange,Positif
xiaomii,Netral
tunggu xiaomi pro,Positif
tonton pakai redmi siapa besok kebel iphone pro tukar tambah,Netral
xiaomi pro max dong,Netral
gua tunggu review xiaomi pro,Negatif
mau tanya iphone buat jangka panjang tahun wort enggak soal mau beli,Positif
pengin coba iphonemke ultra enggak rusak,Netral
xr orange lupa,Positif
haha lumayan design iphone pro handphone poco kali pro gue awet muda malah jumlah bobanya lebih banyak,Positif
assalamualaikum pengin atuh handphone bebas handphone apa bekas buat usaha,Negatif
kalau iphone masuk iphone harga turun,Negatif
xiaomi,Netral
coba riview handphone xiomi biasapro,Positif
gue pakai iphone pro max dark blue sengaja enggak mau pilih cosmic orange warna aneh buat gue pribadi lebih bagus silver overall handphone cakep specs fitur baru moga mau punya handphone sampai,Positif
iphone kok enggak beda soal desain,Positif
enggak worth usd kok jadi jutaaa rupiah untung reseller gede,Positif
kamera tiru poco kali pro enggak,Netral
jawab promax edit pakai capcut p hasil sama,Positif
iphone memang iphone seri reguler worth segala tingkat beri kok brian request review produk apple lain apple watch seri baru rilis misal apple watch se,Positif
iphone cepat panas enggak guna hari soal aku rela jual pro cepat panas sekarang bimbang mau ambil apple samsung flagship,Negatif
gara hz gue langsung ganti iph,Negatif
camera depan oksidasi enggak kak,Netral
hak apa kamu worth barang pinjam worth imbang fitur kasi duit keluar memang kamu keluar duit,Negatif
bagaimana tahan body material dnger aluminium enggak kuat titanium,Netral
keren,Netral
mah belikan mah,Negatif
tahun depan moga turun harga,Positif
banding iphone basic sama pro dong bimbang mau ambil mana wkwk,Negatif
hz dealbreaker up pm worth,Netral
baru white upgrade xr pakai tahun,Netral
tuju cakep base model sejak,Positif
iphone cocok pakai charger apa charger produk iphone langsung,Netral
review ear pods type dong sekarang luar indonesia banyak pakai headset kabel,Positif
sengaja iphone base model simpan gudang goreng harga iphone sampah base model keluar enggak goreng iphone gb jelek,Negatif
moga kebel iphone tahun depan amin,Positif
enggak apa banding vivo kali pro harga cuma beda juta,Netral
kak compare iphone pro vs iphone base model,Positif
memang upgrade paling worth iphone initdnya mau beli iphone pending dulu deh lihat upgrade iphone banyak bangetnunggu duit kumpul dulu moga tahun depan hrgnya enggak goreng,Positif
tahan xr,Positif
baterai handphone iphone rata rata rban mah enggak ikut handphone android ribu bahkan ribu mah,Positif
fr segi kamera batterai bagus orang iphone,Negatif
mana debat update series ganjl sama genap kalian bagus ganjil genap,Negatif
aku bela ganti iphone pro iphone basic asa banget beda kamera memang worth banget sih,Positif
batreinya gila gila,Positif
tonton vid ipon langsung alhamdulillah memang se mantap gue iphone up benar enggak sesal minus harga doang ampunnn,Netral
kaget lihat klaim lewatin plus pas aku cek battery test nyata enggak,Positif
harap plus malah enggak butuh size besar pro max mahal,Positif
riview vivo kali pro,Netral
penasaran air versi entar bikin bening kaca tembus pandang terus hologram nah baru terobos moga jadi terus jadi health body scanner ganti mri wah mungkin iphone,Negatif
fase timbang iphone mau minggat pm pro butuh saran teman sepuh,Netral
sini apa pakai iphone beli baru,Negatif
